security,y_m,trail_12m_net_sales,trail_12m_eps,trail_12m_oper_margin,ev_to_t12m_ebitda,enterprise_value,best_pe_ratio,px_last,best_sales,best_eps,best_opp_to_sales,best_cur_ev_to_ebitda,trail_12m_ebitda,cur_mkt_cap,volume,eqy_dvd_yld_12m,trail_12m_gross_margin,ebit_margin,best_ltg_eps,is_div_per_shr,ebitda_margin,tot_debt_to_tot_asset,sales_growth,eps_growth,sales_to_cash,current_ev_to_t12m_ebitda,pe_ratio,eqy_sh_out,short_int,si_percent_equity_float,rsk_bb_implied_cds_spread,ivol_delta,open_int_total_call,open_int_total_put,px_to_book_ratio,tot_debt_to_tot_eqy,tot_debt_to_ebitda,return_com_eqy,eqy_dvd_yld_ind,tang_book_val_per_sh,net_debt,curr_entp_val,trail_12m_cogs,best_ebitda,trail_12m_oper_inc,px_last_usd,trail_12m_cap_expend,free_cash_flow_yield,trail_12m_free_cash_flow_per_sh,best_estimate_fcf,interest_coverage_ratio,t12_fcf_t12_ebitda,tot_debt_to_com_eqy,altman_z_score,bs_cash_near_cash_item,bs_mkt_sec_other_st_invest,bs_cur_liab,bs_acct_note_rcv,is_operating_expn,invent_days,acct_rcv_days,accounts_payable_turnover_days,wacc_eva_spread,wacc_return_on_inv_capital,wacc
AMZN US Equity,2000-01,1639.84,-1.18,-24.8902,,27049.4,,64.563,,,,,-126.042,22002.1,10697900.0,,17.724,-24.8902,,0.0,-7.6862,59.9081,167.445,-540.0,5.78,,,340.787,31865800.0,10.914,,,81753.0,59863.0,83.6872,556.058,,-355.52,,-0.7777,774.472,,,,-408.16,,-287.055,-1.7825,-1.1508,,,,,,116.962,589.226,738.935,0.0,170.026,33.8364,,68.2801,,,
AMZN US Equity,2000-02,1639.84,-1.18,-24.8902,,27049.4,,68.875,,,,,-126.042,23471.7,7148500.0,,17.724,-24.8902,,0.0,-7.6862,59.9081,167.445,-540.0,5.78,,,340.787,36801500.0,12.605,,,77958.0,58056.0,89.2772,556.058,,-355.52,,-0.7777,774.472,,,,-408.16,,-287.055,-1.6709,-1.1508,,,,,,116.962,589.226,738.935,0.0,170.026,33.8364,,68.2801,,,
AMZN US Equity,2000-03,1920.08,-1.415,-28.7724,,24591.3,,67.0,,,,,-174.424,23125.4,5115500.0,,18.4361,-28.7724,,0.0,-9.0842,78.8698,95.4376,-350.0,6.8249,,,345.155,32970300.0,11.292,,,413055.0,142166.0,915.303,8404.38,,-1874.34,,-1.7761,1144.06,,,,-552.454,,-294.594,-3.0512,-2.0443,,,,,,84.087,924.794,567.165,0.0,324.007,25.4143,,42.0249,,,
AMZN US Equity,2000-04,1920.08,-1.415,-28.7724,,24591.3,,55.188,,,,,-174.424,19048.2,6833800.0,,18.4361,-28.7724,,0.0,-9.0842,78.8698,95.4376,-350.0,6.8249,,,345.155,28226300.0,9.668,,,127269.0,117685.0,753.929,8404.38,,-1874.34,,-1.7761,1144.06,,,,-552.454,,-294.594,-3.7042,-2.0443,,,,,,84.087,924.794,567.165,0.0,324.007,25.4143,,42.0249,,,
AMZN US Equity,2000-05,1920.08,-1.415,-28.7724,,24591.3,,48.313,,,,,-174.424,16995.1,6882000.0,,18.4361,-28.7724,,0.0,-9.0842,78.8698,95.4376,-350.0,6.8249,,,351.774,25759400.0,8.823,,,131776.0,125816.0,660.008,8404.38,,-1874.34,,-1.7761,1144.06,,,,-552.454,,-294.594,-4.2314,-2.0443,,,,,,84.087,924.794,567.165,0.0,324.007,25.4143,,42.0249,,,
AMZN US Equity,2000-06,2183.58,-1.49,-28.4537,,14147.1,,36.313,,,,,-150.288,12773.8,6451900.0,,19.3499,-28.4537,,0.0,-6.8826,87.3425,83.8162,-111.628,0.8022,,,351.774,23837900.0,8.165,,,171850.0,137976.0,507.173,8404.38,,-1874.34,,-2.4626,1241.64,,,,-621.311,,-231.437,-5.2429,-1.9038,,,,,,720.377,187.244,607.623,0.0,313.992,24.0819,,44.1596,-40.5295,-32.4945,8.035
AMZN US Equity,2000-07,2183.58,-1.49,-28.4537,,14147.1,,30.125,,,,,-150.288,10597.2,9478800.0,,19.3499,-28.4537,,0.0,-6.8826,87.3425,83.8162,-111.628,0.8022,,,351.774,28741400.0,9.844,,,130114.0,123125.0,507.173,8404.38,,-1874.34,,-2.4626,1241.64,,,,-621.311,,-231.437,-6.3198,-1.9038,,,,,,720.377,187.244,607.623,0.0,313.992,24.0819,,44.1596,-40.5295,-32.4945,8.035
AMZN US Equity,2000-08,2183.58,-1.49,-28.4537,,14147.1,,41.5,,,,,-150.288,14768.4,4616300.0,,19.3499,-28.4537,,0.0,-6.8826,87.3425,83.8162,-111.628,0.8022,,,355.864,32012600.0,10.964,,,170533.0,141727.0,507.173,8404.38,,-1874.34,,-2.4626,1241.64,,,,-621.311,,-231.437,-4.5876,-1.9038,,,,,,720.377,187.244,607.623,0.0,313.992,24.0819,,44.1596,-40.5295,-32.4945,8.035
AMZN US Equity,2000-09,2183.58,-1.49,-28.4537,,14147.1,,38.438,,,,,-150.288,13678.5,6517100.0,,19.3499,-28.4537,,0.0,-6.8826,87.3425,83.8162,-111.628,0.8022,,,355.864,32298500.0,11.062,,,170715.0,141340.0,507.173,8404.38,,-1874.34,,-2.4626,1241.64,,,,-621.311,,-231.437,-4.1435,-1.9038,,,,,,720.377,187.244,607.623,0.0,313.992,24.0819,,44.1596,-40.5295,-32.4945,8.035
AMZN US Equity,2000-10,2465.66,-1.48,-24.6467,,14887.6,,36.625,,,,,-126.282,13044.9,9919500.0,,21.0622,-24.6467,,0.0,-5.1216,93.1378,79.2859,-15.2542,0.9858,,,356.174,35408600.0,12.128,,,191198.0,178913.0,507.173,8404.38,,-1874.34,,-2.8296,1199.89,,,,-607.705,,-202.623,-4.3485,-1.5927,,,,,,647.048,252.976,659.097,0.0,319.003,26.5776,,49.7531,-46.5785,-36.8798,9.6987
