security,date,monthly_return,monthly_return_f1
AMZN US Equity,2000-01-31,,0.06678747889658165
AMZN US Equity,2000-02-29,0.06678747889658165,-0.02722323049001818
AMZN US Equity,2000-03-31,-0.02722323049001818,-0.1762985074626865
AMZN US Equity,2000-04-28,-0.1762985074626865,-0.12457418279336085
AMZN US Equity,2000-05-31,-0.12457418279336085,-0.2483803531140687
AMZN US Equity,2000-06-30,-0.2483803531140687,-0.17040729215432493
AMZN US Equity,2000-07-31,-0.17040729215432493,0.3775933609958506
AMZN US Equity,2000-08-31,0.3775933609958506,-0.07378313253012048
AMZN US Equity,2000-09-29,-0.07378313253012048,-0.047166866122066775
AMZN US Equity,2000-10-31,-0.047166866122066775,-0.3259249146757679
AMZN US Equity,2000-11-30,-0.3259249146757679,-0.36961276733635773
AMZN US Equity,2000-12-29,-0.36961276733635773,0.1124461864679045
AMZN US Equity,2001-01-31,0.1124461864679045,-0.41154046092531615
AMZN US Equity,2014-01-31,-0.10055417638356035,0.009506816471047452
AMZN US Equity,2014-02-28,0.009506816471047452,-0.07107152720243026
AMZN US Equity,2014-03-31,-0.07107152720243026,-0.09583339527001922
AMZN US Equity,2014-04-30,-0.09583339527001922,0.027685529214480642
AMZN US Equity,2014-05-30,0.027685529214480642,0.03912973924172114
AMZN US Equity,2014-06-30,0.03912973924172114,-0.036301496397561306
AMZN US Equity,2014-07-31,-0.036301496397561306,0.08322949615003683
AMZN US Equity,2014-08-29,0.08322949615003683,-0.0489617744218972
AMZN US Equity,2014-09-30,-0.0489617744218972,-0.05266096017863797
AMZN US Equity,2014-10-31,-0.05266096017863797,0.10862306030249469
AMZN US Equity,2014-11-28,0.10862306030249469,-0.08354004252303315
AMZN US Equity,2014-12-31,-0.08354004252303315,0.1423554051876912
AMZN US Equity,2015-01-30,0.1423554051876912,0.07229289481849221
AMZN US Equity,2015-02-27,0.07229289481849221,-0.021201599326599374
AMZN US Equity,2015-03-31,-0.021201599326599374,0.13351249664068776
AMZN US Equity,2015-04-30,0.13351249664068776,0.0176632367584999
AMZN US Equity,2015-05-29,0.0176632367584999,0.01132260093656079
AMZN US Equity,2015-06-30,0.01132260093656079,0.23511253426708745
AMZN US Equity,2015-07-31,0.23511253426708745,-0.04338338151636667
AMZN US Equity,2015-08-31,-0.04338338151636667,-0.0019497358107976037
AMZN US Equity,2015-09-30,-0.0019497358107976037,0.22272363203031897
AMZN US Equity,2015-10-30,0.22272363203031897,0.0621505032752836
AMZN US Equity,2015-11-30,0.0621505032752836,0.01668170878459696
AMZN US Equity,2015-12-31,0.01668170878459696,-0.13151548328870077
AMZN US Equity,2016-01-29,-0.13151548328870077,-0.058739352640545195
AMZN US Equity,2016-02-29,-0.058739352640545195,0.07442264533410548
AMZN US Equity,2016-03-31,0.07442264533410548,0.11109426588504823
AMZN US Equity,2016-04-29,0.11109426588504823,0.09581709850058351
AMZN US Equity,2016-05-31,0.09581709850058351,-0.009919893745071073
AMZN US Equity,2016-06-30,-0.009919893745071073,0.060353260110114215
AMZN US Equity,2016-07-29,0.060353260110114215,0.013639778073562647
AMZN US Equity,2016-08-31,0.013639778073562647,0.08860315148993703
AMZN US Equity,2016-09-30,0.08860315148993703,-0.05671734483046886
AMZN US Equity,2016-10-31,-0.05671734483046886,-0.049694867184928215
AMZN US Equity,2016-11-30,-0.049694867184928215,-0.0009326245386840348
AMZN US Equity,2016-12-30,-0.0009326245386840348,0.09816368170482881
AMZN US Equity,2017-01-31,0.09816368170482881,0.02618157089425366
AMZN US Equity,2017-02-28,0.02618157089425366,0.049110101296980124
AMZN US Equity,2017-03-31,0.049110101296980124,0.043370857490919734
AMZN US Equity,2017-04-28,0.043370857490919734,0.07527648947556198
AMZN US Equity,2017-05-31,0.07527648947556198,-0.02676399026763987
AMZN US Equity,2017-06-30,-0.02676399026763987,0.020433884297520688
AMZN US Equity,2017-07-31,0.020433884297520688,-0.007268825042013316
AMZN US Equity,2017-08-31,-0.007268825042013316,-0.019630838262288397
